town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
BUKIT TIMAH,2004-05,300750.0,210000.0,400000.0,261450.0,374000.0,2860.4395604395604,2684.931506849315,3200.0,2814.587550607287,2968.0406683480455
BUKIT TIMAH,2004-06,484000.0,398000.0,490000.0,441000.0,487000.0,3356.1643835616437,3109.375,3408.450704225352,3232.7696917808216,3382.307543893498
BUKIT TIMAH,2004-07,286000.0,185000.0,460000.0,243750.0,371750.0,3093.105524612374,2846.153846153846,3739.837398373984,2919.642857142857,3233.073209072535
BUKIT TIMAH,2004-08,275000.0,195000.0,488000.0,216000.0,305000.0,3095.2380952380954,2932.6923076923076,3323.076923076923,3021.978021978022,3168.8311688311687
BUKIT TIMAH,2004-09,265000.0,182000.0,412000.0,201250.0,315250.0,2773.6263736263736,2534.246575342466,3349.5934959349593,2706.0439560439563,3058.1730769230767
BUKIT TIMAH,2004-10,280000.0,180000.0,510000.0,229000.0,500400.0,2923.076923076923,2465.753424657534,3493.150684931507,2634.6153846153848,3249.3506493506493
BUKIT TIMAH,2004-11,194000.0,143000.0,380000.0,187000.0,242250.0,2584.6908552388004,2200.0,3114.754098360656,2494.1385669125398,2885.7068607068604
BUKIT TIMAH,2004-12,300000.0,180000.0,330000.0,267300.0,320000.0,2884.6153846153848,2704.9180327868853,3076.923076923077,2769.230769230769,2937.3626373626375
BUKIT TIMAH,2005-01,340000.0,297000.0,370000.0,307500.0,357500.0,2862.3108448928124,2534.246575342466,2950.8196721311474,2742.6308322824716,2880.6746532156367
BUKIT TIMAH,2005-02,290000.0,188500.0,310000.0,277000.0,308000.0,2980.769230769231,2566.6666666666665,3186.813186813187,2900.0,3043.956043956044
BUKIT TIMAH,2005-03,280000.0,182000.0,390000.0,220250.0,343500.0,2911.657559198543,2857.1428571428573,3184.6153846153848,2885.6837606837607,3018.7628073770493
BUKIT TIMAH,2005-04,366000.0,200000.0,452000.0,271000.0,386000.0,3044.9438202247193,2702.7027027027025,3360.0,2894.7368421052633,3114.754098360656
BUKIT TIMAH,2005-05,206800.0,185000.0,252000.0,195900.0,229400.0,2721.0526315789475,2423.076923076923,2846.153846153846,2572.064777327935,2783.603238866397
BUKIT TIMAH,2005-06,265000.0,188000.0,438000.0,250000.0,310000.0,2878.3783783783783,2540.9836065573772,3245.901639344262,2685.185185185185,2892.3076923076924
BUKIT TIMAH,2005-07,319000.0,183800.0,468000.0,296500.0,402250.0,2855.7692307692305,2656.25,3525.0,2832.3076923076924,3120.4557428872495
BUKIT TIMAH,2005-08,316500.0,178000.0,460000.0,272000.0,362500.0,2652.3897483260216,2438.3561643835615,2987.012987012987,2535.211267605634,2887.137452711223
BUKIT TIMAH,2005-09,359000.0,208000.0,386000.0,291500.0,375500.0,2886.3493064312734,2582.1917808219177,3039.3700787401576,2855.1859099804306,2951.3639856557375
BUKIT TIMAH,2005-10,375000.0,188000.0,455000.0,277000.0,406000.0,2967.032967032967,2568.4931506849316,3248.0,2865.3846153846152,3116.4383561643835
BUKIT TIMAH,2005-11,326000.0,221888.0,465000.0,255000.0,420000.0,2919.5789473684213,2727.2727272727275,3134.6153846153848,2802.197802197802,3019.4805194805194
BUKIT TIMAH,2005-12,296000.0,264000.0,438000.0,280000.0,364000.0,2794.5205479452056,2596.153846153846,3000.0,2705.706179066835,2873.6263736263736
BUKIT TIMAH,2006-01,318000.0,178000.0,420000.0,200000.0,385000.0,2947.1153846153848,2438.3561643835615,3414.6341463414633,2602.7397260273974,3076.923076923077
BUKIT TIMAH,2006-02,280000.0,216000.0,441000.0,267000.0,438000.0,2934.065934065934,2842.1052631578946,3076.923076923077,2920.0,3020.5479452054797
BUKIT TIMAH,2006-03,312000.0,145000.0,450000.0,219000.0,328000.0,2922.0779220779223,2265.625,3000.0,2688.5245901639346,2959.4594594594596
BUKIT TIMAH,2006-04,305000.0,185000.0,412000.0,272000.0,305000.0,2936.5079365079364,2824.074074074074,3433.3333333333335,2932.6923076923076,3056.179775280899
BUKIT TIMAH,2006-05,333000.0,298000.0,426000.0,315000.0,387500.0,2903.846153846154,2688.5245901639346,3375.0,2797.4464060529635,2962.9691502394476
BUKIT TIMAH,2006-06,207000.0,143000.0,480000.0,195000.0,320000.0,2783.7837837837837,2200.0,3287.671232876712,2704.9180327868853,3095.2380952380954
BUKIT TIMAH,2006-07,305500.0,178000.0,385000.0,214000.0,322000.0,2792.3076923076924,2636.986301369863,2980.769230769231,2688.713745271122,2882.211538461538
BUKIT TIMAH,2006-08,323000.0,143000.0,481000.0,262500.0,385000.0,2836.5384615384614,2234.375,3538.4615384615386,2693.633505501909,3163.6537165955533
BUKIT TIMAH,2006-09,309500.0,188000.0,455000.0,294000.0,318250.0,2865.3846153846152,2565.5737704918033,3204.225352112676,2628.622233930453,3043.269230769231
BUKIT TIMAH,2006-10,328000.0,305000.0,358000.0,312000.0,333000.0,2934.4262295081967,2562.5,3351.6483516483518,2729.5081967213114,3000.0
BUKIT TIMAH,2006-11,301500.0,215888.0,448000.0,290250.0,315000.0,2980.7692307692305,2596.153846153846,3461.5384615384614,2756.9444444444443,3131.7083245521603
BUKIT TIMAH,2006-12,293500.0,215000.0,337000.0,239250.0,321500.0,2924.5258166491044,2688.5245901639346,3446.153846153846,2797.6828499369485,3085.202468764113
BUKIT TIMAH,2007-01,295500.0,274500.0,395000.0,291250.0,329000.0,2812.5,2705.4794520547944,3084.2696629213483,2787.279319041614,2843.75
BUKIT TIMAH,2007-02,443000.0,310000.0,453000.0,376500.0,448000.0,3034.246575342466,2980.769230769231,3102.7397260273974,3007.507903055848,3068.4931506849316
BUKIT TIMAH,2007-03,335000.0,228000.0,448000.0,323500.0,395900.0,3123.2876712328766,2852.4590163934427,3681.3186813186812,2954.5454545454545,3414.6419637273293
BUKIT TIMAH,2007-04,305000.0,148000.0,350888.0,237500.0,327500.0,3125.0,2312.5,3351.6483516483518,2790.5245901639346,3187.1845710165826
BUKIT TIMAH,2007-05,290000.0,290000.0,290000.0,290000.0,290000.0,3186.813186813187,3186.813186813187,3186.813186813187,3186.813186813187,3186.813186813187
BUKIT TIMAH,2007-06,316000.0,295000.0,500000.0,307750.0,365000.0,3333.2078880024083,3000.0,3595.505617977528,3181.3186813186812,3467.3695551793135
BUKIT TIMAH,2007-07,370000.0,250000.0,550000.0,318000.0,473000.0,3239.72602739726,3032.7868852459014,4471.544715447155,3057.6923076923076,3289.4736842105262
BUKIT TIMAH,2007-08,460000.0,406000.0,638000.0,409000.0,542000.0,3753.4986005597757,3327.8688524590166,4253.333333333333,3352.4590163934427,4173.089430894309
