month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
1990-01,very low,47000.0,13500.0,238000.0,36500.0,72000.0,671.6417910447761,293.1034482758621,1525.6410256410256,540.0,782.6086956521739
1990-02,very low,47200.0,7300.0,218000.0,39500.0,78750.0,700.0,251.72413793103448,1475.0,575.3569110966905,827.4231067459291
1990-03,very low,55750.0,5600.0,215000.0,40000.0,81625.0,700.7462686567164,180.6451612903226,1433.3333333333333,572.8255275347401,841.255442670537
1990-04,very low,50000.0,10200.0,226000.0,37750.0,85500.0,697.0149253731344,293.4782608695652,1547.945205479452,567.1641791044776,842.8953399541635
1990-05,very low,50000.0,10400.0,235000.0,40000.0,83000.0,700.0,294.7368421052632,1587.837837837838,597.0149253731344,846.1538461538462
1990-06,very low,47000.0,7300.0,237000.0,30000.0,74250.0,677.1712158808932,241.93548387096774,1809.1603053435115,481.3170163170163,855.0624133148405
1990-07,very low,52000.0,5000.0,260000.0,39400.0,87500.0,705.8823529411765,161.29032258064515,1744.96644295302,584.9547511312217,885.9525899912204
1990-08,very low,48000.0,13600.0,251000.0,37000.0,75000.0,691.1764705882352,284.61538461538464,1608.974358974359,544.1176470588235,819.047619047619
1990-09,very low,52500.0,13500.0,235000.0,37500.0,90000.0,700.0,295.6521739130435,1535.9477124183006,553.0424799081516,942.7716306910938
1990-10,very low,61000.0,15000.0,220000.0,40000.0,92700.0,736.2637362637363,300.0,1594.2028985507247,576.271186440678,947.7611940298508
1990-11,very low,49000.0,7500.0,243000.0,39000.0,72000.0,700.0,252.38095238095238,1664.3835616438357,563.3802816901408,828.7671232876712
1990-12,very low,53000.0,6000.0,205000.0,41000.0,83000.0,701.4925373134329,193.5483870967742,1516.6666666666667,597.0149253731344,847.8260869565217
1991-01,very low,55000.0,6000.0,240000.0,41500.0,84000.0,701.4925373134329,193.5483870967742,1610.7382550335572,602.23574711216,895.5811138014528
1991-02,very low,54500.0,7000.0,236000.0,40000.0,90750.0,698.2995748937234,225.80645161290323,1573.3333333333333,602.8082919914955,932.8148903620602
1991-03,very low,53000.0,14000.0,200000.0,41500.0,85500.0,708.955223880597,304.3478260869565,1369.86301369863,589.5721925133689,881.05126541207
1991-04,very low,56000.0,7500.0,219500.0,41000.0,80000.0,712.3287671232877,241.93548387096774,1463.3333333333333,608.695652173913,831.4606741573034
1991-05,very low,58000.0,7300.0,215000.0,45000.0,91000.0,704.4776119402985,235.48387096774192,1583.3333333333333,617.6470588235294,932.2033898305085
1991-06,very low,58000.0,8000.0,235000.0,46125.0,90875.0,720.6959706959707,275.86206896551727,1609.5890410958905,629.077564334904,910.3358208955224
1991-07,very low,57000.0,17000.0,255000.0,42500.0,91000.0,729.1666666666666,309.09090909090907,1832.0610687022902,625.0,923.9130434782609
1991-08,very low,57000.0,5700.0,248000.0,45000.0,90000.0,739.6857923497267,183.8709677419355,1684.9315068493152,630.9313725490197,925.2622377622378
1991-09,very low,58500.0,8000.0,230000.0,42000.0,91355.0,717.7595170216334,275.86206896551727,1760.3305785123966,615.3846153846154,938.2898351648352
1991-10,very low,56000.0,13500.0,288000.0,40000.0,92375.0,708.3628632175762,276.6666666666667,2213.1147540983607,593.2203389830509,909.0909090909091
1991-11,very low,50000.0,6700.0,247000.0,40000.0,72750.0,700.7462686567164,216.1290322580645,1715.2777777777778,592.091836734694,838.9756944444445
1991-12,very low,53000.0,8000.0,245000.0,40000.0,80000.0,701.4925373134329,258.06451612903226,1752.0661157024792,589.2565359477125,879.1208791208791
1992-01,very low,52000.0,9500.0,240000.0,40000.0,82000.0,701.4925373134329,288.135593220339,1663.0434782608695,575.3424657534247,847.7611940298508
1992-02,very low,60000.0,8000.0,250000.0,45000.0,95000.0,751.3440860215054,258.06451612903226,1633.986928104575,627.3033707865168,908.6776859504132
1992-03,very low,57500.0,14000.0,273000.0,43250.0,91750.0,736.4583333333334,300.0,1856.1151079136691,612.5840179238237,942.3076923076923
1992-04,very low,60000.0,14000.0,245000.0,42000.0,94000.0,747.6635514018692,304.3478260869565,1657.5342465753424,621.6216216216217,920.0
1992-05,very low,63100.0,14000.0,275000.0,45250.0,110000.0,769.7505197505197,300.0,1883.5616438356165,663.2882882882883,1000.0
1992-06,very low,60500.0,14000.0,293000.0,41250.0,98625.0,761.3871635610766,317.46031746031747,1904.109589041096,615.9502262443439,1023.3516483516484
1992-07,very low,70000.0,7300.0,265000.0,47000.0,113750.0,811.9474614801718,251.72413793103448,1815.0684931506848,686.5671641791045,1067.526717557252
1992-08,very low,63500.0,8000.0,270000.0,46725.0,112250.0,792.6632191338074,285.7142857142857,1835.6164383561643,662.9901960784314,1081.4947600661887
1992-09,very low,60000.0,10000.0,259000.0,43750.0,100000.0,768.3110367892978,297.82608695652175,1731.543624161074,645.8672086720867,1024.6985157699444
1992-10,very low,62000.0,10000.0,275000.0,47000.0,100000.0,791.126783664097,304.3478260869565,1883.5616438356165,653.2738095238096,1052.4453024453023
1992-11,very low,66750.0,18000.0,335000.0,47000.0,115000.0,846.1538461538462,318.1818181818182,2278.91156462585,679.1621718806185,1097.1433344470431
1992-12,very low,62000.0,14000.0,305000.0,46925.0,102125.0,796.0697977821266,257.57575757575756,1993.4640522875818,677.9661016949152,1059.2266775777414
1993-01,very low,65000.0,10000.0,290000.0,47000.0,103750.0,833.9889850511408,321.42857142857144,2257.4257425742576,676.731418918919,1104.1289592760181
1993-02,very low,61000.0,10300.0,310000.0,44175.0,100750.0,774.1935483870968,283.3333333333333,2123.2876712328766,637.3102554609404,1066.2037037037037
1993-03,very low,72000.0,7500.0,325000.0,50000.0,117000.0,896.6426193118757,267.85714285714283,2181.2080536912754,692.1628407460545,1188.5340175174733
1993-04,very low,72000.0,8800.0,323000.0,45000.0,125500.0,892.5619834710744,283.8709677419355,2148.7603305785124,627.3118279569892,1179.0209790209792
1993-05,very low,108500.0,11000.0,333000.0,60000.0,175250.0,1112.4084249084249,379.3103448275862,2288.7323943661972,859.9468411367818,1417.5003227055633
1993-06,very low,113450.0,18000.0,348000.0,68000.0,175000.0,1178.228021978022,321.42857142857144,2503.5971223021584,965.6593406593406,1465.3494371482177
1993-07,very low,120000.0,14500.0,375000.0,73000.0,196000.0,1296.875,315.2173913043478,2752.0661157024792,1029.4117647058824,1626.0162601626016
1993-08,very low,120000.0,14000.0,365000.0,75000.0,185000.0,1311.4754098360656,324.6753246753247,2989.6907216494847,1100.0,1641.7910447761194
1993-09,very low,125000.0,22000.0,375000.0,81000.0,185500.0,1384.2105263157894,491.8032786885246,2678.5714285714284,1159.0752242926155,1726.1904761904761
1993-10,very low,133500.0,27000.0,396000.0,85000.0,220500.0,1481.4814814814815,507.46268656716416,3351.6483516483518,1213.6327503974562,1854.1246518774608
1993-11,very low,125000.0,15000.0,420000.0,83000.0,193750.0,1473.589505456234,435.8974358974359,2880.3418803418804,1195.5223880597016,1833.3333333333333
1993-12,very low,145000.0,18000.0,415000.0,86250.0,225000.0,1538.4615384615386,580.6451612903226,2933.884297520661,1250.0,1914.060629280207
1994-01,very low,130000.0,13000.0,425000.0,85000.0,200000.0,1515.1515151515152,448.2758620689655,3641.304347826087,1232.876712328767,1846.1538461538462
1994-02,very low,137500.0,10500.0,435000.0,85000.0,207125.0,1540.258806613947,362.0689655172414,3057.8512396694214,1235.0643382352941,1926.5998419909145
1994-03,very low,145000.0,24000.0,421000.0,88000.0,203000.0,1580.0,342.85714285714283,2934.782608695652,1268.6567164179105,1888.5181776346067
1994-04,very low,153000.0,35000.0,430000.0,89500.0,240000.0,1614.6085552865216,546.875,3114.754098360656,1268.6567164179105,2017.0569867291179
1994-05,very low,160000.0,25000.0,465000.0,92000.0,240000.0,1663.2925143195735,543.4782608695652,3274.6478873239435,1316.9945725915875,2012.396694214876
1994-06,very low,152000.0,22000.0,440000.0,92000.0,245000.0,1647.0588235294117,671.6417910447761,3351.6483516483518,1343.2835820895523,2093.1588902900376
1994-07,very low,153000.0,15000.0,485000.0,91000.0,235375.0,1634.6153846153845,517.2413793103449,3919.191919191919,1313.4328358208954,2042.3925667828107
1994-08,very low,160000.0,34000.0,498000.0,96000.0,246000.0,1706.5154994259472,703.125,3342.281879194631,1397.2602739726028,2123.4631147540986
1994-09,very low,160000.0,35000.0,500000.0,98000.0,221000.0,1671.4285714285716,828.5714285714286,3448.2758620689656,1406.25,2053.583525267579
1994-10,very low,157000.0,39000.0,485000.0,99000.0,240000.0,1726.1904761904761,714.2857142857143,3347.1074380165287,1397.1091861402094,2111.4177489177487
1994-11,very low,166000.0,40000.0,502500.0,99750.0,255250.0,1733.3333333333333,857.1428571428571,3489.5833333333335,1446.932006633499,2131.9741011158562
1994-12,very low,165000.0,21500.0,515000.0,100375.0,237250.0,1730.7692307692307,767.8571428571429,3527.3972602739727,1468.612818261633,2119.2002442002445
1995-01,very low,160000.0,26000.0,460000.0,98250.0,221500.0,1739.757525083612,825.0,3172.4137931034484,1427.5452488687783,2134.6153846153848
1995-02,very low,167000.0,42000.0,510000.0,106000.0,252000.0,1756.1517783291977,895.5223880597015,3493.150684931507,1507.3093436924964,2134.8878394332937
1995-03,very low,170000.0,37000.0,480000.0,103750.0,224250.0,1753.100253996713,869.5652173913044,3270.4918032786886,1498.134328358209,2144.3176552363298
1995-04,very low,180000.0,25000.0,502000.0,110000.0,260750.0,1903.2006245121,862.0689655172414,3595.0413223140495,1588.235294117647,2234.3358395989976
1995-05,very low,190000.0,39000.0,570000.0,120000.0,278500.0,2000.0,1116.8831168831168,4545.454545454545,1691.1764705882354,2443.6805357651756
1995-06,very low,188000.0,25500.0,530000.0,115000.0,240000.0,1977.7859597447227,826.0869565217391,3760.3305785123966,1662.006237006237,2359.621349185836
1995-07,very low,185000.0,34000.0,535000.0,120000.0,281000.0,2053.191489361702,945.9459459459459,3639.4557823129253,1736.111111111111,2417.5824175824177
1995-08,very low,200000.0,28500.0,555000.0,125000.0,290000.0,2144.230769230769,919.3548387096774,3827.5862068965516,1785.7142857142858,2465.753424657534
1995-09,very low,204250.0,53000.0,590000.0,130000.0,282850.0,2142.8571428571427,1044.7761194029852,4506.172839506173,1849.6728685340422,2532.2690217391305
1995-10,very low,200000.0,30000.0,570000.0,129000.0,285000.0,2122.8082886538186,967.741935483871,4750.0,1852.2058823529412,2567.3854447439353
1995-11,very low,200000.0,28000.0,592000.0,133000.0,270000.0,2190.4761904761904,965.5172413793103,5012.048192771084,1904.7619047619048,2571.4285714285716
1995-12,very low,220000.0,55000.0,680000.0,140000.0,300500.0,2307.6923076923076,1187.5,5036.144578313253,2014.9253731343283,2714.9595687331534
1996-01,very low,220000.0,39000.0,627600.0,142875.0,300000.0,2361.0939622175574,606.060606060606,4444.444444444444,2029.201680672269,2752.251833967871
1996-02,very low,240000.0,40000.0,650000.0,148125.0,340000.0,2500.0,1090.909090909091,5061.728395061728,2150.0758917278017,2947.6415760485806
1996-03,very low,229000.0,60500.0,650000.0,152250.0,306500.0,2443.211068211068,1260.0,5222.222222222223,2152.118495077356,2888.736263736264
1996-04,very low,235000.0,59000.0,690000.0,156000.0,315000.0,2537.313432835821,946.969696969697,5269.2307692307695,2238.805970149254,3045.4545454545455
1996-05,very low,246000.0,50000.0,780000.0,164000.0,335000.0,2660.1339098898034,1450.0,5416.666666666667,2307.6923076923076,3111.3479680696664
1996-06,very low,241000.0,40000.0,883000.0,168000.0,343000.0,2761.194029850746,1093.75,5566.265060240964,2430.769230769231,3288.3556810162318
1996-07,very low,265000.0,50000.0,740000.0,175000.0,375000.0,2890.625,1063.6363636363637,5511.363636363636,2470.926301555105,3441.741582936718
1996-08,very low,278000.0,40000.0,700000.0,181000.0,374500.0,3000.0,1428.5714285714287,5388.888888888889,2630.8150183150183,3516.2013319672133
