month,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
1995-08,mid,200000.0,34000.0,548000.0,123350.0,261500.0,2157.4074074074074,1065.2173913043478,3813.3802816901407,1808.8235294117646,2514.0669515669515
1995-09,mid,199000.0,41000.0,557500.0,126000.0,264500.0,2172.4828375286043,1111.111111111111,3963.4146341463415,1842.22027972028,2552.3626373626375
1995-10,mid,205500.0,35000.0,600000.0,134000.0,274750.0,2247.950819672131,1187.5,4375.0,1926.8292682926829,2614.7642679900746
1995-11,mid,197000.0,45000.0,625000.0,135000.0,271225.0,2238.4506041222457,1086.9565217391305,4194.6308724832215,1941.1764705882354,2687.881045928736
1995-12,mid,208000.0,37000.0,600000.0,140000.0,282000.0,2333.3333333333335,1136.3636363636363,4133.858267716535,2026.0948491036986,2707.034454470878
1996-01,mid,220000.0,38000.0,658000.0,145000.0,300000.0,2355.769230769231,1310.344827586207,4506.8493150684935,2077.4225774225774,2826.505016722408
1996-02,mid,203000.0,33000.0,630000.0,145000.0,290000.0,2410.714285714286,1064.516129032258,4405.5944055944055,2132.3529411764707,2826.086956521739
1996-03,mid,235000.0,40300.0,665000.0,154000.0,310000.0,2525.2938170669395,1300.0,4683.098591549296,2242.628321805606,2982.8296703296705
1996-04,mid,223000.0,45000.0,695000.0,157000.0,320000.0,2637.3626373626375,1071.4285714285713,4727.891156462585,2246.153846153846,3058.823529411765
1996-05,mid,246000.0,39000.0,660000.0,165000.0,335750.0,2752.3584905660377,1344.8275862068965,4577.4647887323945,2403.200344431688,3250.0
1996-06,mid,240000.0,50000.0,720000.0,175000.0,355000.0,2887.323943661972,1458.3333333333333,4832.214765100671,2522.3880597014927,3370.0787401574803
1996-07,mid,260000.0,40000.0,725000.0,180000.0,360000.0,2988.9472398632142,1290.3225806451612,5123.966942148761,2611.9402985074626,3451.785714285714
1996-08,mid,262000.0,73500.0,730000.0,185000.0,372000.0,3057.1428571428573,1563.8297872340424,4958.677685950413,2686.5671641791046,3557.6923076923076
1996-09,mid,249000.0,45000.0,710000.0,187000.0,360000.0,3057.9723674383868,1307.6923076923076,5067.796610169492,2727.2727272727275,3565.3064861012117
1996-10,mid,258400.0,47000.0,700000.0,190000.0,365000.0,3087.5959079283884,1428.5714285714287,4958.333333333333,2780.948294357434,3602.1062271062274
1996-11,mid,266500.0,63000.0,718000.0,194000.0,365000.0,3136.9455463397044,1630.4347826086957,4917.808219178082,2812.205188679245,3573.7552966101694
1996-12,mid,270000.0,58000.0,690000.0,200000.0,373000.0,3125.0,1796.875,4865.248226950354,2834.474885844749,3538.4615384615386
1997-01,mid,275000.0,61000.0,665000.0,198000.0,361000.0,3135.593220338983,1867.9245283018868,5037.878787878788,2865.12474012474,3505.254515599343
