,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
0,1990-01,high,1 ROOM,8000.0,7300.0,9000.0,7650.0,8500.0,258.06451612903226,251.72413793103448,290.3225806451613,254.89432703003337,274.19354838709677
1,1990-01,high,2 ROOM,18000.0,12000.0,30000.0,16250.0,24250.0,450.0,240.0,577.7777777777778,367.1195652173913,543.2783018867924
2,1990-01,high,3 ROOM,40000.0,18000.0,70000.0,32900.0,47000.0,615.3846153846154,310.5263157894737,1150.0,492.3076923076923,701.4925373134329
3,1990-01,high,4 ROOM,75000.0,50000.0,157000.0,70000.0,88000.0,809.5238095238095,510.2040816326531,1554.4554455445545,760.8695652173913,918.3673469387755
4,1990-01,high,5 ROOM,140000.0,80000.0,228000.0,121500.0,160250.0,1113.6363636363635,634.9206349206349,1664.2335766423357,1008.2644628099174,1296.223021582734
5,1990-01,high,EXECUTIVE,188000.0,160000.0,235000.0,160000.0,208500.0,1270.2702702702702,1032.258064516129,1598.639455782313,1070.2460850111856,1366.993706034802
6,1990-01,low,1 ROOM,6000.0,6000.0,6000.0,6000.0,6000.0,193.5483870967742,193.5483870967742,193.5483870967742,193.5483870967742,193.5483870967742
7,1990-01,low,2 ROOM,19000.0,14000.0,28000.0,18700.0,22500.0,450.98039215686276,304.3478260869565,651.1627906976744,418.719806763285,525.7236842105262
8,1990-01,low,3 ROOM,43500.0,17000.0,84000.0,35000.0,52000.0,641.7910447761194,303.57142857142856,1150.6849315068494,509.61538461538464,709.4594594594595
9,1990-01,low,4 ROOM,78000.0,46000.0,130000.0,68000.0,88500.0,795.6043956043957,522.7272727272727,1274.5098039215686,743.0212450592886,899.4505494505494
10,1990-01,low,5 ROOM,133000.0,80000.0,201000.0,110000.0,145000.0,1090.2255639097743,683.7606837606837,1487.603305785124,900.8264462809917,1188.5245901639344
11,1990-01,low,EXECUTIVE,180000.0,114000.0,215000.0,160200.0,190000.0,1166.6666666666667,760.0,1472.6027397260275,1073.8255033557048,1276.595744680851
12,1990-01,mid,1 ROOM,7300.0,6000.0,9500.0,7300.0,9000.0,251.72413793103448,193.5483870967742,310.3448275862069,235.48387096774192,306.4516129032258
13,1990-01,mid,2 ROOM,19000.0,14000.0,23000.0,17325.0,19025.0,413.04347826086956,306.0,511.1111111111111,387.5,429.1576086956522
14,1990-01,mid,3 ROOM,42600.0,16700.0,102000.0,34750.0,49000.0,630.1470588235295,257.57575757575756,1378.3783783783783,533.8983050847457,701.4925373134329
15,1990-01,mid,4 ROOM,83500.0,45000.0,142000.0,70750.0,88625.0,818.823648923202,517.2413793103449,1365.3846153846155,760.8695652173913,893.287037037037
16,1990-01,mid,5 ROOM,127000.0,77000.0,196000.0,109000.0,140000.0,1008.405735678463,616.6666666666666,1675.2136752136753,870.3542392566783,1146.6942148760331
17,1990-01,mid,EXECUTIVE,193000.0,160000.0,210000.0,184750.0,199000.0,1291.3012350098443,1073.8255033557048,1489.3617021276596,1254.638029574526,1380.03213003213
18,1990-01,very low,2 ROOM,18500.0,13500.0,19100.0,15000.0,19100.0,415.2173913043478,293.4782608695652,477.5,326.0869565217391,456.0975609756098
19,1990-01,very low,3 ROOM,41750.0,16800.0,68000.0,28875.0,47000.0,609.2011128775835,293.1034482758621,1116.6666666666667,469.4368131868132,692.8475935828876
20,1990-01,very low,4 ROOM,75000.0,45000.0,113000.0,63500.0,88000.0,764.8726040205704,517.2413793103449,1098.901098901099,692.0144462279294,846.1538461538462
21,1990-01,very low,5 ROOM,125000.0,86000.0,180000.0,108500.0,140500.0,997.0899778838319,681.9548872180451,1349.2063492063492,894.3698347107438,1087.099906254185
22,1990-01,very low,EXECUTIVE,178100.0,156000.0,238000.0,159700.0,209250.0,1185.171677637431,1046.979865771812,1525.6410256410256,1075.7772907820847,1422.162750612356
23,1990-02,high,1 ROOM,7500.0,7500.0,7500.0,7500.0,7500.0,258.62068965517244,258.62068965517244,258.62068965517244,258.62068965517244,258.62068965517244
24,1990-02,high,2 ROOM,16250.0,13600.0,18900.0,14925.0,17575.0,378.31389183457054,295.6521739130435,460.9756097560976,336.983032873807,419.64475079533406
25,1990-02,high,3 ROOM,45000.0,20400.0,93600.0,35000.0,51250.0,645.8333333333334,313.84615384615387,1076.388888888889,535.593220338983,704.4776119402985
26,1990-02,high,4 ROOM,78700.0,46000.0,157600.0,67000.0,89300.0,843.4782608695652,560.9756097560976,1445.8715596330276,772.7743271221532,925.8503401360545
27,1990-02,high,5 ROOM,128000.0,74000.0,228000.0,110000.0,145500.0,1041.6666666666667,596.7741935483871,1628.5714285714287,929.0966386554621,1209.9366062214358
28,1990-02,high,EXECUTIVE,182500.0,114000.0,232000.0,173000.0,195500.0,1233.1081081081081,775.5102040816327,1503.4965034965035,1109.1967281879195,1308.4505738615328
29,1990-02,low,1 ROOM,7650.0,7300.0,8000.0,7475.0,7825.0,254.89432703003337,251.72413793103448,258.06451612903226,253.30923248053392,256.4794215795328
30,1990-02,low,2 ROOM,17000.0,13500.0,22200.0,15500.0,19000.0,354.1666666666667,270.0,493.3333333333333,327.58620689655174,421.7391304347826
31,1990-02,low,3 ROOM,43500.0,20000.0,77000.0,33700.0,49500.0,634.3283582089553,313.84615384615387,1040.5405405405406,495.5882352941177,701.4925373134329
32,1990-02,low,4 ROOM,80000.0,49000.0,139500.0,70000.0,91900.0,822.5874913374913,532.6086956521739,1142.857142857143,734.0265434293162,940.0085962783171
33,1990-02,low,5 ROOM,127000.0,77700.0,230000.0,108975.0,146875.0,1021.114008402144,642.1487603305785,1666.6666666666667,906.8181818181819,1143.4892952430532
34,1990-02,low,EXECUTIVE,175000.0,160000.0,233000.0,164500.0,201250.0,1215.0299054601583,1066.6666666666667,1553.3333333333333,1098.4563758389263,1354.8423423423424
35,1990-02,mid,1 ROOM,7300.0,7300.0,7500.0,7300.0,7400.0,251.72413793103448,251.72413793103448,258.62068965517244,251.72413793103448,255.17241379310346
36,1990-02,mid,2 ROOM,15500.0,13500.0,41500.0,15000.0,20800.0,341.4634146341463,319.1489361702128,798.0769230769231,326.0869565217391,433.3333333333333
37,1990-02,mid,3 ROOM,45000.0,20400.0,78000.0,37750.0,50250.0,638.8184584178499,313.84615384615387,1054.054054054054,564.0961262553802,701.4925373134329
38,1990-02,mid,4 ROOM,82500.0,63000.0,150000.0,71000.0,90325.0,850.0090711175617,653.0612244897959,1351.3513513513512,776.867064973861,947.8837133195157
39,1990-02,mid,5 ROOM,127000.0,70000.0,180000.0,112500.0,141500.0,1047.5206611570247,673.0769230769231,1508.4745762711864,920.2945336038861,1110.17501396388
40,1990-02,mid,EXECUTIVE,160500.0,140000.0,232000.0,160000.0,177500.0,1070.3418650438516,897.4358974358975,1546.6666666666667,1043.9329203161717,1230.0604800604801
41,1990-02,very low,1 ROOM,7650.0,7300.0,10000.0,7300.0,8000.0,259.389400921659,251.72413793103448,357.14285714285717,258.06451612903226,260.7142857142857
42,1990-02,very low,2 ROOM,18200.0,15000.0,28700.0,16000.0,22200.0,478.94736842105266,326.0869565217391,637.7777777777778,400.0,493.3333333333333
43,1990-02,very low,3 ROOM,45000.0,17000.0,64300.0,37000.0,47200.0,628.1597774244833,326.9230769230769,880.5970149253732,541.5384615384615,701.1194029850747
