town,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
PASIR RIS,1993-10,low,5 ROOM,230000.0,230000.0,230000.0,230000.0,230000.0,1869.918699186992,1869.918699186992,1869.918699186992,1869.918699186992,1869.918699186992
PASIR RIS,1993-10,low,EXECUTIVE,352500.0,327000.0,380000.0,340500.0,365000.0,2389.560540590236,2239.72602739726,2602.7397260273974,2332.1917808219177,2462.765468419601
PASIR RIS,1993-10,mid,5 ROOM,235000.0,210000.0,260000.0,222500.0,247500.0,1811.0795454545455,1590.909090909091,2031.25,1700.9943181818182,1921.1647727272727
PASIR RIS,1993-10,mid,EXECUTIVE,310000.0,310000.0,310000.0,310000.0,310000.0,2123.2876712328766,2123.2876712328766,2123.2876712328766,2123.2876712328766,2123.2876712328766
PASIR RIS,1993-10,very low,4 ROOM,100000.0,100000.0,100000.0,100000.0,100000.0,961.5384615384615,961.5384615384615,961.5384615384615,961.5384615384615,961.5384615384615
PASIR RIS,1993-11,high,4 ROOM,183000.0,183000.0,183000.0,183000.0,183000.0,1794.1176470588234,1794.1176470588234,1794.1176470588234,1794.1176470588234,1794.1176470588234
PASIR RIS,1993-11,high,5 ROOM,262500.0,250000.0,280000.0,253750.0,272500.0,1951.3105507631053,1893.939393939394,2121.212121212121,1922.3484848484848,2008.405220084052
PASIR RIS,1993-11,high,EXECUTIVE,370000.0,330000.0,390000.0,348750.0,386250.0,2441.2751677852348,2214.7651006711408,2746.478873239437,2340.6040268456377,2561.6197183098593
PASIR RIS,1993-11,low,4 ROOM,135000.0,135000.0,135000.0,135000.0,135000.0,1285.7142857142858,1285.7142857142858,1285.7142857142858,1285.7142857142858,1285.7142857142858
PASIR RIS,1993-11,low,5 ROOM,210000.0,210000.0,210000.0,210000.0,210000.0,1640.625,1640.625,1640.625,1640.625,1640.625
PASIR RIS,1993-11,low,EXECUTIVE,340000.0,310000.0,370000.0,325000.0,355000.0,2303.2545738714716,2123.2876712328766,2483.221476510067,2213.2711225521743,2393.2380251907693
PASIR RIS,1993-11,mid,4 ROOM,160000.0,140000.0,203000.0,143750.0,182000.0,1508.0128205128203,1283.1858407079646,1951.923076923077,1320.796460176991,1750.0
PASIR RIS,1993-11,mid,5 ROOM,230000.0,225000.0,305000.0,227500.0,267500.0,1742.4242424242425,1704.5454545454545,2310.6060606060605,1723.4848484848485,2026.5151515151515
PASIR RIS,1993-11,mid,EXECUTIVE,341500.0,300000.0,380000.0,324750.0,357500.0,2339.041095890411,2054.794520547945,2676.056338028169,2224.3150684931506,2466.9592899864942
PASIR RIS,1993-11,very low,5 ROOM,182500.0,155000.0,210000.0,168750.0,196250.0,1447.77694982613,1174.2424242424242,1721.311475409836,1311.0096870342772,1584.544212617983
PASIR RIS,1993-11,very low,EXECUTIVE,304000.0,250000.0,372000.0,285750.0,329750.0,2075.482247693598,1724.1379310344828,2530.612244897959,1953.837014257758,2246.924797316187
PASIR RIS,1993-12,high,4 ROOM,190000.0,170000.0,207000.0,180000.0,198500.0,1844.6601941747572,1650.485436893204,1990.3846153846155,1747.5728155339807,1917.5224047796864
PASIR RIS,1993-12,high,5 ROOM,225000.0,150000.0,285000.0,220000.0,236500.0,1835.9375,1136.3636363636363,2317.0731707317073,1782.6626924987581,1844.2622950819673
PASIR RIS,1993-12,high,EXECUTIVE,320000.0,295000.0,345000.0,307500.0,332500.0,2199.929145016533,2020.5479452054794,2379.310344827586,2110.2385451110063,2289.6197449220595
PASIR RIS,1993-12,low,4 ROOM,160000.0,160000.0,160000.0,160000.0,160000.0,1523.8095238095239,1523.8095238095239,1523.8095238095239,1523.8095238095239,1523.8095238095239
