town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
SENGKANG,2017-04,3 ROOM,19 TO 21,365000.0,365000.0,365000.0,365000.0,365000.0,5367.64705882353,5367.64705882353,5367.64705882353,5367.64705882353,5367.64705882353
SENGKANG,2017-04,4 ROOM,01 TO 03,370000.0,315000.0,412000.0,350000.0,393000.0,4111.111111111111,3461.5384615384614,4500.0,3743.421052631579,4225.806451612903
SENGKANG,2017-04,4 ROOM,04 TO 06,400000.0,352000.0,505000.0,372500.0,431250.0,4296.035805626599,3500.0,5611.111111111111,4027.227722772277,4651.45881006865
SENGKANG,2017-04,4 ROOM,07 TO 09,410000.0,350000.0,540000.0,400500.0,477500.0,4627.906976744186,3846.153846153846,6000.0,4150.755601875977,5305.555555555556
SENGKANG,2017-04,4 ROOM,10 TO 12,420000.0,355000.0,568888.0,385000.0,497500.0,4641.025641025641,3663.366336633663,6183.565217391304,4144.799054373522,5407.608695652174
SENGKANG,2017-04,4 ROOM,13 TO 15,438000.0,357000.0,548000.0,420000.0,520888.0,4578.9473684210525,4103.092783505154,6088.888888888889,4468.085106382979,5722.222222222223
SENGKANG,2017-04,4 ROOM,16 TO 18,430000.0,370000.0,478888.0,389000.0,440444.0,4574.468085106383,3978.494623655914,5320.977777777778,4205.586722767648,4660.328779395297
SENGKANG,2017-04,4 ROOM,19 TO 21,439000.0,432000.0,440000.0,436500.0,440000.0,4627.659574468085,4583.333333333333,4680.851063829788,4592.641843971631,4664.893617021276
SENGKANG,2017-04,4 ROOM,22 TO 24,422500.0,405000.0,475000.0,405000.0,448750.0,4445.921985815603,4263.1578947368425,5000.0,4297.172452407614,4687.5
SENGKANG,2017-04,4 ROOM,25 TO 27,452000.0,452000.0,452000.0,452000.0,452000.0,4708.333333333333,4708.333333333333,4708.333333333333,4708.333333333333,4708.333333333333
