town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
KALLANG/WHAMPOA,2009-12,320500.0,185000.0,730000.0,280000.0,425000.0,4411.764705882353,2460.9375,8795.180722891566,3953.846153846154,4666.666666666667
KALLANG/WHAMPOA,2010-01,322000.0,205000.0,721000.0,260000.0,521000.0,4337.454274488551,3537.6344086021504,6554.545454545455,4000.0,4992.307692307692
KALLANG/WHAMPOA,2010-02,331500.0,195000.0,800000.0,263750.0,471250.0,4142.813408847391,3423.4234234234236,6222.222222222223,3832.701695786228,4480.698529411765
KALLANG/WHAMPOA,2010-03,310000.0,200000.0,720000.0,269000.0,475000.0,4203.883495145631,3344.155844155844,6965.909090909091,3944.4444444444443,4764.705882352941
KALLANG/WHAMPOA,2010-04,370000.0,195000.0,760000.0,275000.0,540250.0,4338.235294117647,2821.5767634854774,6909.090909090909,4068.5714285714284,4866.666666666667
KALLANG/WHAMPOA,2010-05,358800.0,200000.0,765000.0,273000.0,512000.0,4316.239316239316,3666.6666666666665,7807.22891566265,4107.142857142857,4829.059829059829
KALLANG/WHAMPOA,2010-06,390000.0,180000.0,755000.0,297000.0,526900.0,4476.923076923077,3633.9285714285716,8076.923076923077,4202.60989010989,5018.0952380952385
KALLANG/WHAMPOA,2010-07,377000.0,217000.0,768000.0,299000.0,505000.0,4611.764705882353,3560.6060606060605,6981.818181818182,4264.705882352941,5024.5901639344265
KALLANG/WHAMPOA,2010-08,335500.0,230000.0,760000.0,289000.0,450250.0,4664.2156862745105,3814.4329896907216,7865.168539325843,4365.499029126214,5153.60696517413
KALLANG/WHAMPOA,2010-09,366000.0,207000.0,888000.0,299500.0,516250.0,4576.597131681878,2169.6428571428573,7368.421052631579,4324.553571428572,5043.913713405239
KALLANG/WHAMPOA,2010-10,426000.0,200000.0,780000.0,299500.0,550750.0,4692.307692307692,3794.1176470588234,7208.791208791209,4445.523193096009,5078.144078144078
KALLANG/WHAMPOA,2010-11,348000.0,232000.0,725000.0,302000.0,470000.0,4725.274725274725,3418.803418803419,7055.555555555556,4485.294117647059,5117.64705882353
KALLANG/WHAMPOA,2010-12,445000.0,252500.0,788000.0,318000.0,560000.0,4787.878787878788,4166.666666666667,7096.774193548387,4512.040043290043,5239.740082079343
KALLANG/WHAMPOA,2011-01,407500.0,230000.0,815000.0,320000.0,572500.0,4864.102564102564,3866.6666666666665,7576.470588235294,4557.51050420168,5451.298701298701
KALLANG/WHAMPOA,2011-02,377000.0,264000.0,800000.0,314500.0,445000.0,4858.333333333333,3944.954128440367,8076.923076923077,4631.868131868132,5330.683624801271
KALLANG/WHAMPOA,2011-03,346500.0,230000.0,770000.0,295000.0,433666.0,4859.782608695652,4021.7391304347825,7000.0,4615.384615384615,5205.957128614158
KALLANG/WHAMPOA,2011-04,384750.0,242000.0,675000.0,312000.0,479500.0,4836.937256292095,4067.7966101694915,6555.555555555556,4557.005494505494,5305.236728837876
KALLANG/WHAMPOA,2011-05,439800.0,241000.0,818000.0,327000.0,571000.0,5072.463768115942,3895.2380952380954,7548.387096774193,4692.307692307692,5384.615384615385
KALLANG/WHAMPOA,2011-06,456500.0,280000.0,785000.0,355000.0,560000.0,4947.103743713913,3916.6666666666665,7136.363636363636,4751.059322033898,5540.15625
KALLANG/WHAMPOA,2011-07,399000.0,246000.0,720000.0,334250.0,527500.0,5144.957983193277,3673.913043478261,7977.528089887641,4765.086206896552,5519.869445716903
KALLANG/WHAMPOA,2011-08,380000.0,268000.0,795000.0,321944.0,593444.0,5250.0,4461.538461538462,7989.130434782609,4894.683257918552,5781.35593220339
KALLANG/WHAMPOA,2011-09,395000.0,265000.0,820000.0,323000.0,516400.0,5215.384615384615,4194.805194805195,8846.153846153846,4840.65934065934,5684.537684537685
KALLANG/WHAMPOA,2011-10,385000.0,230000.0,838800.0,330000.0,500000.0,5107.5268817204305,3740.740740740741,8923.404255319148,4854.368932038835,5322.580645161291
KALLANG/WHAMPOA,2011-11,400000.0,268000.0,899000.0,328000.0,600000.0,5390.625,4273.504273504273,7747.747747747748,5050.5952380952385,5884.033613445377
KALLANG/WHAMPOA,2011-12,497000.0,270000.0,903000.0,340500.0,624000.0,5485.436893203883,4579.439252336449,8674.698795180722,4921.934501142422,6087.797619047619
KALLANG/WHAMPOA,2012-01,401000.0,293000.0,860000.0,340000.0,618000.0,5384.615384615385,4545.454545454545,8924.050632911392,5083.333333333333,5779.411764705882
KALLANG/WHAMPOA,2012-02,450000.0,280000.0,800000.0,347500.0,584500.0,5250.0,4515.384615384615,7644.444444444444,5016.483516483517,5654.411764705883
KALLANG/WHAMPOA,2012-03,375000.0,273000.0,818000.0,326500.0,560000.0,5274.725274725275,4538.461538461538,8600.0,5000.0,5544.117647058823
KALLANG/WHAMPOA,2012-04,447000.0,270000.0,805000.0,337500.0,605000.0,5441.176470588235,4512.987012987013,9112.90322580645,5154.532967032967,5809.1736694677875
KALLANG/WHAMPOA,2012-05,428000.0,240000.0,810000.0,357000.0,568000.0,5593.220338983051,4523.809523809524,8112.903225806452,5147.058823529412,5905.882352941177
KALLANG/WHAMPOA,2012-06,390000.0,255000.0,825000.0,335500.0,513000.0,5533.333333333333,4268.292682926829,8967.391304347826,5250.0,5904.615384615385
KALLANG/WHAMPOA,2012-07,387500.0,250000.0,815000.0,335000.0,508250.0,5450.7722007722,4736.8421052631575,8617.021276595744,5257.9670329670325,6000.277777777777
KALLANG/WHAMPOA,2012-08,378000.0,272000.0,988888.0,333000.0,520000.0,5509.433962264151,3971.4377510040163,7516.363636363636,5123.076923076923,5819.780219780219
KALLANG/WHAMPOA,2012-09,490250.0,262000.0,798000.0,361750.0,636250.0,5516.889238020424,4642.857142857143,9397.590361445784,5212.4470018170805,5876.750184229919
KALLANG/WHAMPOA,2012-10,444000.0,296000.0,852000.0,348500.0,642000.0,5440.677966101695,4159.663865546218,8271.844660194174,5160.839160839161,5946.078431372549
KALLANG/WHAMPOA,2012-11,439500.0,255000.0,815000.0,379000.0,608000.0,5876.930501930502,4848.484848484848,10410.25641025641,5545.588235294117,6367.024886877828
KALLANG/WHAMPOA,2012-12,461000.0,295000.0,918000.0,352000.0,600000.0,5707.317073170731,4861.538461538462,8032.258064516129,5283.333333333333,6250.0
KALLANG/WHAMPOA,2013-01,450000.0,280000.0,865000.0,364250.0,645000.0,5750.0,5000.0,8145.1612903225805,5578.5173079780125,6222.886029411765
KALLANG/WHAMPOA,2013-02,433000.0,280000.0,735000.0,370000.0,657500.0,5852.941176470588,4772.727272727273,9187.5,5281.593406593407,6362.203069161236
KALLANG/WHAMPOA,2013-03,500000.0,281000.0,890000.0,374000.0,584000.0,5824.175824175824,5080.0,8064.5161290322585,5501.0989010989015,6127.192760180996
KALLANG/WHAMPOA,2013-04,526000.0,283000.0,1020000.0,430000.0,640000.0,6029.411764705882,3834.5864661654136,9250.0,5384.615384615385,6888.888888888889
KALLANG/WHAMPOA,2013-05,405000.0,276666.0,880000.0,343000.0,564000.0,5615.384615384615,4776.315789473684,8000.0,5267.857142857143,6215.384615384615
KALLANG/WHAMPOA,2013-06,480000.0,270000.0,870000.0,355000.0,640000.0,5708.474576271186,4962.4060150375935,7909.090909090909,5420.560747663551,6158.730158730159
KALLANG/WHAMPOA,2013-07,455000.0,267000.0,870000.0,357000.0,575500.0,5728.155339805825,4807.692307692308,7909.090909090909,5337.3983739837395,6033.518261673602
KALLANG/WHAMPOA,2013-08,447000.0,273000.0,831000.0,362250.0,582500.0,5656.10989010989,4748.201438848921,7777.777777777777,5348.9010989010985,6019.85294117647
KALLANG/WHAMPOA,2013-09,470000.0,275000.0,846000.0,362500.0,602500.0,5500.0,4821.978021978022,8000.0,5198.717948717949,5870.863970588235
