town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
JURONG EAST,1996-08,4 ROOM,04 TO 06,298000.0,248000.0,335000.0,250000.0,303000.0,2885.714285714286,2500.0,3160.377358490566,2505.050505050505,3010.10101010101
JURONG EAST,1996-08,4 ROOM,07 TO 09,310500.0,295000.0,326000.0,302750.0,318250.0,3013.2634758802983,2979.7979797979797,3046.728971962617,2996.530727839139,3029.9962239214574
JURONG EAST,1996-08,4 ROOM,10 TO 12,300000.0,270000.0,315000.0,288750.0,307500.0,3162.7107364685007,2812.5,3500.0,2960.7780612244896,3361.413043478261
JURONG EAST,1996-08,5 ROOM,01 TO 03,420000.0,375000.0,455000.0,410000.0,425000.0,3416.6666666666665,3099.1735537190084,3512.396694214876,3395.5223880597014,3500.0
JURONG EAST,1996-08,5 ROOM,04 TO 06,430000.0,420000.0,462800.0,423750.0,441950.0,3402.857142857143,3244.2748091603053,3595.0413223140495,3290.3544165757908,3523.7603305785124
JURONG EAST,1996-08,5 ROOM,07 TO 09,423000.0,310000.0,480000.0,376000.0,445000.0,3396.946564885496,2914.7286821705425,3636.3636363636365,2980.769230769231,3495.8677685950415
JURONG EAST,1996-08,5 ROOM,10 TO 12,352000.0,352000.0,352000.0,352000.0,352000.0,3384.6153846153848,3384.6153846153848,3384.6153846153848,3384.6153846153848,3384.6153846153848
JURONG EAST,1996-08,5 ROOM,13 TO 15,363000.0,363000.0,363000.0,363000.0,363000.0,3490.3846153846152,3490.3846153846152,3490.3846153846152,3490.3846153846152,3490.3846153846152
JURONG EAST,1996-08,5 ROOM,19 TO 21,401000.0,401000.0,401000.0,401000.0,401000.0,3427.3504273504273,3427.3504273504273,3427.3504273504273,3427.3504273504273,3427.3504273504273
JURONG EAST,1996-08,5 ROOM,22 TO 24,470000.0,470000.0,490000.0,470000.0,480000.0,3916.6666666666665,3916.6666666666665,4083.3333333333335,3916.6666666666665,4000.0
JURONG EAST,1996-08,5 ROOM,25 TO 27,500000.0,500000.0,500000.0,500000.0,500000.0,4237.28813559322,4237.28813559322,4237.28813559322,4237.28813559322,4237.28813559322
JURONG EAST,1996-08,EXECUTIVE,04 TO 06,537500.0,495000.0,580000.0,516250.0,558750.0,3689.266471311088,3485.9154929577467,3892.6174496644294,3587.5909821344176,3790.9419604877585
JURONG EAST,1996-08,EXECUTIVE,07 TO 09,525000.0,525000.0,525000.0,525000.0,525000.0,3523.489932885906,3523.489932885906,3523.489932885906,3523.489932885906,3523.489932885906
JURONG EAST,1996-08,EXECUTIVE,10 TO 12,572500.0,545000.0,600000.0,558750.0,586250.0,3973.4404400057897,3865.248226950355,4081.6326530612246,3919.3443334780723,4027.536546533507
JURONG EAST,1996-09,3 ROOM,01 TO 03,180000.0,131000.0,230000.0,158250.0,193750.0,2485.2941176470586,1753.2467532467533,2839.5061728395062,2166.628614916286,2619.733704292528
JURONG EAST,1996-09,3 ROOM,04 TO 06,180000.0,137000.0,195000.0,165000.0,186500.0,2472.972972972973,2014.7058823529412,2867.6470588235293,2260.698198198198,2735.2941176470586
JURONG EAST,1996-09,3 ROOM,07 TO 09,185000.0,147000.0,222000.0,160000.0,193000.0,2582.089552238806,1976.7441860465117,3000.0,2161.764705882353,2835.820895522388
JURONG EAST,1996-09,3 ROOM,10 TO 12,168000.0,163000.0,221000.0,164000.0,180000.0,2470.5882352941176,2216.2162162162163,2695.121951219512,2263.8888888888887,2647.0588235294117
JURONG EAST,1996-09,3 ROOM,13 TO 15,185000.0,135000.0,215000.0,172500.0,192500.0,2640.0560224089636,1824.3243243243244,2720.5882352941176,2375.723938223938,2720.5882352941176
JURONG EAST,1996-09,3 ROOM,16 TO 18,175000.0,175000.0,175000.0,175000.0,175000.0,2573.529411764706,2573.529411764706,2573.529411764706,2573.529411764706,2573.529411764706
JURONG EAST,1996-09,4 ROOM,01 TO 03,300000.0,250000.0,320000.0,265000.0,315000.0,3047.6190476190477,2698.9247311827958,3461.5384615384614,2815.5339805825242,3315.217391304348
JURONG EAST,1996-09,4 ROOM,04 TO 06,324000.0,273300.0,345000.0,308250.0,330000.0,3428.3314669652855,2760.6060606060605,3670.2127659574467,3279.255319148936,3473.684210526316
JURONG EAST,1996-09,4 ROOM,07 TO 09,300000.0,270000.0,340000.0,281250.0,321250.0,3139.400921658986,2727.2727272727275,3269.230769230769,2980.205278592375,3228.0219780219777
JURONG EAST,1996-09,4 ROOM,10 TO 12,328000.0,310000.0,345000.0,319000.0,336500.0,3406.5934065934066,3317.3076923076924,3489.3617021276596,3361.9505494505493,3447.977554360533
JURONG EAST,1996-09,5 ROOM,01 TO 03,410000.0,410000.0,410000.0,410000.0,410000.0,3416.6666666666665,3416.6666666666665,3416.6666666666665,3416.6666666666665,3416.6666666666665
JURONG EAST,1996-09,5 ROOM,04 TO 06,440000.0,420000.0,460000.0,430000.0,450000.0,3395.5555555555557,3111.1111111111113,3680.0,3253.3333333333335,3537.777777777778
JURONG EAST,1996-09,5 ROOM,07 TO 09,419000.0,408000.0,430000.0,413500.0,424500.0,3322.314049586777,3090.909090909091,3553.719008264463,3206.6115702479337,3438.01652892562
JURONG EAST,1996-09,5 ROOM,10 TO 12,440000.0,395000.0,488000.0,417500.0,464000.0,3666.6666666666665,2992.4242424242425,3873.0158730158732,3329.5454545454545,3769.84126984127
JURONG EAST,1996-09,5 ROOM,13 TO 15,480000.0,480000.0,480000.0,480000.0,480000.0,4000.0,4000.0,4000.0,4000.0,4000.0
JURONG EAST,1996-09,5 ROOM,19 TO 21,410000.0,410000.0,410000.0,410000.0,410000.0,3504.2735042735044,3504.2735042735044,3504.2735042735044,3504.2735042735044,3504.2735042735044
JURONG EAST,1996-09,5 ROOM,22 TO 24,485000.0,485000.0,485000.0,485000.0,485000.0,4041.6666666666665,4041.6666666666665,4041.6666666666665,4041.6666666666665,4041.6666666666665
JURONG EAST,1996-09,EXECUTIVE,01 TO 03,550000.0,550000.0,550000.0,550000.0,550000.0,3691.2751677852348,3691.2751677852348,3691.2751677852348,3691.2751677852348,3691.2751677852348
JURONG EAST,1996-09,EXECUTIVE,04 TO 06,585000.0,585000.0,585000.0,585000.0,585000.0,3926.1744966442952,3926.1744966442952,3926.1744966442952,3926.1744966442952,3926.1744966442952
JURONG EAST,1996-09,EXECUTIVE,07 TO 09,535000.0,535000.0,535000.0,535000.0,535000.0,3590.6040268456377,3590.6040268456377,3590.6040268456377,3590.6040268456377,3590.6040268456377
JURONG EAST,1996-10,3 ROOM,01 TO 03,180000.0,150000.0,238000.0,177000.0,200000.0,2644.4444444444443,2027.027027027027,2764.705882352941,2507.4626865671644,2686.5671641791046
JURONG EAST,1996-10,3 ROOM,04 TO 06,180000.0,153000.0,215000.0,173000.0,188000.0,2617.6470588235293,2011.6279069767443,2905.4054054054054,2297.2972972972975,2794.1176470588234
JURONG EAST,1996-10,3 ROOM,07 TO 09,182500.0,160000.0,212000.0,177000.0,195000.0,2626.760563380282,2162.162162162162,2985.0746268656717,2507.042253521127,2810.810810810811
JURONG EAST,1996-10,3 ROOM,10 TO 12,185000.0,160000.0,225000.0,163000.0,196000.0,2594.9367088607596,2103.896103896104,2941.176470588235,2219.178082191781,2794.1176470588234
JURONG EAST,1996-10,3 ROOM,13 TO 15,175000.0,156500.0,245000.0,162500.0,184000.0,2364.864864864865,2114.864864864865,2916.6666666666665,2226.9144144144143,2725.636523266023
JURONG EAST,1996-10,4 ROOM,01 TO 03,301000.0,252000.0,363000.0,297750.0,306500.0,2998.841519925857,2857.1428571428573,3457.1428571428573,2918.2692307692305,3206.838342380511
JURONG EAST,1996-10,4 ROOM,04 TO 06,300000.0,265000.0,345000.0,276000.0,325000.0,3000.70344688976,2673.076923076923,3670.2127659574467,2894.4666444666445,3192.3854447439353
JURONG EAST,1996-10,4 ROOM,07 TO 09,280000.0,237725.0,305000.0,265681.25,290000.0,2773.148148148148,2450.773195876289,3351.6483516483518,2522.4155211912944,3087.912087912088
JURONG EAST,1996-10,4 ROOM,10 TO 12,294000.0,283000.0,305000.0,288500.0,299500.0,3061.909416748126,3043.010752688172,3080.808080808081,3052.460084718149,3071.3587487781037
JURONG EAST,1996-10,5 ROOM,01 TO 03,440000.0,430000.0,475000.0,435000.0,457500.0,3571.4285714285716,3553.719008264463,3636.3636363636365,3562.5737898465172,3603.8961038961043
JURONG EAST,1996-10,5 ROOM,04 TO 06,450000.0,370000.0,500000.0,400500.0,457500.0,3520.6611570247933,2913.3858267716537,3791.6666666666665,3162.490002665956,3729.508196721312
JURONG EAST,1996-10,5 ROOM,07 TO 09,364500.0,355000.0,420000.0,361000.0,379500.0,3451.923076923077,3210.5263157894738,3500.0,3362.7277327935226,3492.7884615384614
JURONG EAST,1996-10,5 ROOM,10 TO 12,485000.0,375000.0,485000.0,430000.0,485000.0,3605.769230769231,3592.5925925925926,3702.290076335878,3599.180911680912,3654.0296535525545
JURONG EAST,1996-10,5 ROOM,13 TO 15,456500.0,443000.0,470000.0,449750.0,463250.0,3586.574074074074,3481.4814814814813,3691.6666666666665,3534.0277777777774,3639.1203703703704
JURONG EAST,1996-10,5 ROOM,16 TO 18,455000.0,455000.0,455000.0,455000.0,455000.0,3888.8888888888887,3888.8888888888887,3888.8888888888887,3888.8888888888887,3888.8888888888887
JURONG EAST,1996-10,5 ROOM,22 TO 24,441800.0,441800.0,441800.0,441800.0,441800.0,3681.6666666666665,3681.6666666666665,3681.6666666666665,3681.6666666666665,3681.6666666666665
JURONG EAST,1996-10,5 ROOM,25 TO 27,414000.0,398000.0,430000.0,406000.0,422000.0,3492.5213675213677,3401.709401709402,3583.3333333333335,3447.1153846153848,3537.9273504273506
JURONG EAST,1996-10,EXECUTIVE,01 TO 03,530000.0,500000.0,535000.0,515000.0,532500.0,3590.6040268456377,3401.360544217687,3630.1369863013697,3495.9822855316625,3610.370506573504
JURONG EAST,1996-10,EXECUTIVE,04 TO 06,527500.0,520000.0,535000.0,523750.0,531250.0,3471.5003465003465,3429.4871794871797,3513.5135135135133,3450.493762993763,3492.50693000693
JURONG EAST,1996-10,EXECUTIVE,10 TO 12,574000.0,548000.0,600000.0,561000.0,587000.0,3749.7541999743516,3677.8523489932886,3821.6560509554142,3713.80327448382,3785.7051254648827
JURONG EAST,1996-11,3 ROOM,01 TO 03,176000.0,155000.0,235000.0,174000.0,185000.0,2597.0149253731342,2123.2876712328766,2797.6190476190477,2588.235294117647,2720.5882352941176
JURONG EAST,1996-11,3 ROOM,04 TO 06,190000.0,173000.0,195000.0,186500.0,193250.0,2755.267778753292,2337.837837837838,2895.5223880597014,2597.972972972973,2821.389376646181
