town,month,flat_type,storey_range,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
TAMPINES,2000-07,3 ROOM,07 TO 09,198000.0,187000.0,215000.0,190250.0,203750.0,2634.1025641025644,2378.048780487805,2905.4054054054054,2535.135135135135,2695.945945945946
TAMPINES,2000-07,3 ROOM,10 TO 12,190000.0,176000.0,201500.0,185000.0,197625.0,2587.8538812785387,2378.3783783783783,2726.027397260274,2538.343159354951,2685.2152282067923
TAMPINES,2000-07,4 ROOM,01 TO 03,281000.0,228000.0,318000.0,270125.0,300000.0,2683.978638184246,2445.4545454545455,3019.80198019802,2598.869301994302,2814.690026954178
TAMPINES,2000-07,4 ROOM,04 TO 06,286500.0,229000.0,335000.0,275500.0,305000.0,2773.809523809524,2504.6728971962616,3160.377358490566,2666.6666666666665,2889.7233925627406
TAMPINES,2000-07,4 ROOM,07 TO 09,296000.0,225000.0,341000.0,279625.0,314500.0,2847.6052249637155,2573.913043478261,3310.6796116504856,2694.7115384615386,3004.4546850998463
TAMPINES,2000-07,4 ROOM,10 TO 12,303000.0,273000.0,333000.0,283000.0,311000.0,2904.7619047619046,2625.0,3326.530612244898,2858.490566037736,3112.1495327102803
TAMPINES,2000-07,4 ROOM,13 TO 15,290000.0,290000.0,290000.0,290000.0,290000.0,2788.4615384615386,2788.4615384615386,2788.4615384615386,2788.4615384615386,2788.4615384615386
TAMPINES,2000-07,5 ROOM,01 TO 03,375000.0,350000.0,407000.0,359000.0,395000.0,2967.479674796748,2892.561983471074,3282.2580645161293,2946.4842162308632,3142.8285790455875
TAMPINES,2000-07,5 ROOM,04 TO 06,398000.0,353000.0,440000.0,390750.0,415000.0,3146.541443053071,2804.5112781954886,3571.4285714285716,2954.190340909091,3291.083916083916
TAMPINES,2000-07,5 ROOM,07 TO 09,410000.0,355000.0,465000.0,381000.0,430000.0,3248.1203007518798,2795.2755905511813,3750.0,3076.4785640495866,3491.4529914529912
TAMPINES,2000-07,5 ROOM,10 TO 12,398000.0,370000.0,455000.0,386000.0,419250.0,3177.465521727817,3020.3252032520327,3669.3548387096776,3126.856275826446,3230.026401882569
TAMPINES,2000-07,5 ROOM,13 TO 15,390000.0,376000.0,465000.0,383000.0,427500.0,3196.72131147541,2960.6299212598424,3522.7272727272725,3078.6756163676264,3359.7242921013412
TAMPINES,2000-07,EXECUTIVE,01 TO 03,484000.0,460000.0,515000.0,472000.0,499500.0,3315.068493150685,3150.6849315068494,3576.3888888888887,3232.876712328767,3445.7286910197868
TAMPINES,2000-07,EXECUTIVE,04 TO 06,503000.0,480000.0,570000.0,495000.0,532500.0,3398.6928104575163,3287.671232876712,3904.109589041096,3355.9345407741102,3714.2644431209055
TAMPINES,2000-07,EXECUTIVE,07 TO 09,525000.0,500000.0,570000.0,509000.0,541000.0,3657.5342465753424,3401.360544217687,3986.013986013986,3546.277665995976,3779.3932686019016
TAMPINES,2000-07,EXECUTIVE,10 TO 12,520000.0,497000.0,526000.0,508500.0,523000.0,3427.5862068965516,3376.6233766233768,3506.6666666666665,3402.1047917599644,3467.1264367816093
TAMPINES,2000-07,MULTI-GENERATION,07 TO 09,572000.0,572000.0,572000.0,572000.0,572000.0,3445.7831325301204,3445.7831325301204,3445.7831325301204,3445.7831325301204,3445.7831325301204
TAMPINES,2000-08,3 ROOM,01 TO 03,175000.0,150000.0,202500.0,169000.0,186000.0,2500.0,2204.8192771084337,2773.972602739726,2368.4210526315787,2602.7397260273974
TAMPINES,2000-08,3 ROOM,04 TO 06,192000.0,160000.0,213000.0,180000.0,194000.0,2567.5675675675675,2227.8481012658226,2808.219178082192,2506.3291139240505,2635.135135135135
TAMPINES,2000-08,3 ROOM,07 TO 09,194000.0,180000.0,218000.0,189500.0,198500.0,2612.2732321362455,2397.4358974358975,2945.945945945946,2551.7567567567567,2682.4324324324325
TAMPINES,2000-08,3 ROOM,10 TO 12,195000.0,160000.0,210000.0,189000.0,199000.0,2635.135135135135,2500.0,2738.805970149254,2554.054054054054,2680.0
